Ticker,Name,Revenue,EBITDA,Operating_Income,Net_Income,Book_Value,Net_Debt
3993.T,PKSHA Technology,34970,6852,4865,2742,34700,10880
3653.T,Morpho,3500,184,100,-78,3620,0
4011.T,Headwaters,5764,463,436,76,1354,1900
4056.T,Neural Group,5300,39,-7,-99,1885,1910
