Ticker,Name,Revenue,EBITDA,Operating_Income,Net_Income,Book_Value,Net_Debt
2317.T,Systena,92410,15820,15360,11250,32950,1550
3817.T,SRA HD,54700,8490,8300,5000,31103,70
9692.T,CEC,65000,8018,7200,5150,40401,350
2335.T,Cube Systems,19500,1807,1750,1220,10874,230
4443.T,Sansan,53651,8992,8052,5364,16040,3572
