Ticker,Name,Revenue,EBITDA,Operating_Income,Net_Income,Book_Value,Net_Debt,Market_Cap
3909.T,Showcase,3261,214,150,110,1684,589,1689
4493.T,Cyber Security Cloud,6000,1266,1200,865,4422,276,17947
3692.T,FFRI,5135,1503,1452,1133,5876,9,37096
4011.T,Headwaters,8555,780,753,391,1354,1900,11742
3984.T,User Local,5284,2249,2207,1523,8699,0,27692
